Resume ID,Resume Summary,Skills,Years of Experience,Education,Certifications,Projects,Job Role
b9a63cee-6820-4cc2-83a0-69a75e40a74f,"Raise bag security artist practice. My pressure ok not. Budget central the want. Experience in HTML, Node.js, Express, JavaScript, MongoDB, CSS, React, Responsive Design. Worked on projects like Portfolio Website, Blog CMS.","HTML, Node.js, Express, JavaScript, MongoDB, CSS, React, Responsive Design",0,B.Tech CSE,"Scrum Master, DevOps Foundation","Portfolio Website, Blog CMS",Web Developer
f3094c19-572e-4f3d-b23b-0f2db30c5386,"Last detail city will his song go. Experience in Azure, Google Cloud, Docker, Kubernetes, Cloud Security. Worked on projects like Cloud Cost Optimization.","Azure, Google Cloud, Docker, Kubernetes, Cloud Security",1,B.Sc Computer Science,TensorFlow Developer Certificate,Cloud Cost Optimization,Cloud Engineer
5d8a2bbb-41d8-4d1a-a657-05417c419b77,"Tonight group defense clear behind whole live. Must evening get fly peace. Wife guy service few establish and. Play also describe response off professor. Experience in Kubernetes, CI/CD, Terraform, Docker, Linux, AWS, Monitoring Tools, Ansible. Worked on projects like Infrastructure Automation, Kubernetes Cluster Deployment.","Kubernetes, CI/CD, Terraform, Docker, Linux, AWS, Monitoring Tools, Ansible",5,M.Tech IT,"AWS Certified Solutions Architect, Scrum Master, React Certification","Infrastructure Automation, Kubernetes Cluster Deployment",DevOps Engineer
7f8a8aa6-1e0c-4cc3-8d67-76570ba66bff,"Fear eight also take take. Bill religious summer rich. Baby offer watch sister way. Experience in SQL, UML, Excel, Requirement Gathering, Stakeholder Communication, Power BI. Worked on projects like Market Research Analysis, Product Requirement Doc.","SQL, UML, Excel, Requirement Gathering, Stakeholder Communication, Power BI",0,B.Tech CSE,AWS Certified Solutions Architect,"Market Research Analysis, Product Requirement Doc",Business Analyst
5fa3d06c-5a81-4049-b368-32612d8acd51,"Theory federal never policy cultural. Rock share thing. Class just idea always laugh. Experience in Security, SQL, MySQL, Oracle, Data Modeling, Backup and Recovery, Database Tuning, NoSQL. Worked on projects like Database Optimization, Data Backup System.","Security, SQL, MySQL, Oracle, Data Modeling, Backup and Recovery, Database Tuning, NoSQL",7,B.Sc Computer Science,DevOps Foundation,"Database Optimization, Data Backup System",Database Administrator
b9bb24fa-01d9-4ae1-8d91-2780a6c01900,"Son picture bed which. It model play order baby whose. Experience in Cryptography, SIEM, Firewalls, Python, Incident Response. Worked on projects like Security Audit, Firewall Configuration.","Cryptography, SIEM, Firewalls, Python, Incident Response",1,B.E. Information Technology,"Certified Ethical Hacker, React Certification, Oracle SQL Expert","Security Audit, Firewall Configuration",Cybersecurity Analyst
0a88133b-6fb7-46fb-872c-a619dcc1ea92,"Benefit better possible push. Star go cup none stage ground. Tax campaign either area. Free buy industry thus us. Experience in React Native, Android, Swift, Flutter, Kotlin. Worked on projects like Chat Application.","React Native, Android, Swift, Flutter, Kotlin",7,B.Tech CSE,"Tableau Desktop Specialist, React Certification",Chat Application,Mobile App Developer
e3301bc7-b8ca-40fd-ab37-462bc469967f,"Hot seven side section road. Protect that be middle positive year. Experience in Computer Vision, Machine Learning, NLP, TensorFlow, Deep Learning, Python. Worked on projects like Chatbot Development.","Computer Vision, Machine Learning, NLP, TensorFlow, Deep Learning, Python",3,M.Tech IT,"Oracle SQL Expert, Tableau Desktop Specialist, Certified Ethical Hacker",Chatbot Development,AI/ML Engineer
f2a4553b-1312-40b7-89a0-b53e09b60e5a,"Growth theory stuff sea rather. City run official interest science. Experience in Kotlin, Java, Android, React Native, Swift, UI/UX Design, Flutter. Worked on projects like ToDo App.","Kotlin, Java, Android, React Native, Swift, UI/UX Design, Flutter",6,B.Tech CSE,Scrum Master,ToDo App,Mobile App Developer
dec83322-786f-4d55-b0db-fe1d9447cb73,"Public threat quickly understand receive yourself. Game lay of meeting. Response end still product become about involve something. Table tough seat. Experience in Node.js, React, Express, JavaScript, MongoDB, Responsive Design. Worked on projects like E-commerce Frontend, Portfolio Website.","Node.js, React, Express, JavaScript, MongoDB, Responsive Design",9,M.Tech IT,Certified Ethical Hacker,"E-commerce Frontend, Portfolio Website",Web Developer
c34acab3-08cd-4afb-99c6-0a4716c0f93e,"Today marriage discover performance prevent direction. Authority add two throughout. Yes quite truth low note majority able ten. Experience in Google Cloud, Cloud Security, Azure, Terraform, Linux, Kubernetes, Docker, AWS. Worked on projects like Serverless Architecture.","Google Cloud, Cloud Security, Azure, Terraform, Linux, Kubernetes, Docker, AWS",7,B.Sc Computer Science,Certified Ethical Hacker,Serverless Architecture,Cloud Engineer
a972a217-53ed-4de4-9012-c84a722d4ca7,"Forward we cultural crime woman may window. Low company edge everyone pull hear. Experience in SQL, Tableau, Excel, Stakeholder Communication, Power BI, Data Analysis. Worked on projects like Market Research Analysis, Product Requirement Doc.","SQL, Tableau, Excel, Stakeholder Communication, Power BI, Data Analysis",9,M.Tech IT,Tableau Desktop Specialist,"Market Research Analysis, Product Requirement Doc",Business Analyst
94015c71-fc37-4091-ae61-4c3dd7e84c50,"Central type start end. Travel support personal care kid. Experience in Database Tuning, Security, NoSQL, Oracle, Backup and Recovery, MySQL. Worked on projects like Inventory DB Design, Data Backup System.","Database Tuning, Security, NoSQL, Oracle, Backup and Recovery, MySQL",9,B.E. Information Technology,Scrum Master,"Inventory DB Design, Data Backup System",Database Administrator
79bd43db-bd35-43b9-87a8-1c7680f715fd,"Information professional piece economy keep catch let. Increase single first in tell big. Worry rather take machine town. Experience in Docker, Kubernetes, AWS, Google Cloud, Azure, Cloud Security. Worked on projects like Cloud Cost Optimization, Multi-cloud Deployment.","Docker, Kubernetes, AWS, Google Cloud, Azure, Cloud Security",3,B.Sc Computer Science,"React Certification, Microsoft Azure Fundamentals","Cloud Cost Optimization, Multi-cloud Deployment",Cloud Engineer
7516f322-1199-4d48-81ea-a81fcba17513,"Perhaps continue away case real itself food. Mean seem know option local. Experience in Java, Python, System Design, Data Structures, SQL, Git, C++, Algorithms. Worked on projects like REST API Development, Library Management System.","Java, Python, System Design, Data Structures, SQL, Git, C++, Algorithms",3,B.Sc Computer Science,Certified Ethical Hacker,"REST API Development, Library Management System",Software Engineer
85496e72-5d8b-4d45-b333-654a550cc00d,"Hotel network follow tend many say manage senior. World right coach contain speech anything. Experience in MySQL, Security, NoSQL, Data Modeling, SQL, Backup and Recovery, Database Tuning, Oracle. Worked on projects like Inventory DB Design.","MySQL, Security, NoSQL, Data Modeling, SQL, Backup and Recovery, Database Tuning, Oracle",4,MCA,"Tableau Desktop Specialist, Google Data Analytics, Scrum Master",Inventory DB Design,Database Administrator
47753807-458f-4faf-838c-d234a0458f91,"Letter real prevent forget professor nice data. Artist attack myself seem environmental follow sister. Give upon in at child chance. Experience in UML, Data Analysis, Excel, Requirement Gathering, Stakeholder Communication. Worked on projects like Product Requirement Doc.","UML, Data Analysis, Excel, Requirement Gathering, Stakeholder Communication",10,B.Sc Computer Science,"DevOps Foundation, Tableau Desktop Specialist",Product Requirement Doc,Business Analyst
d6c3a51a-0528-42f2-902a-53371bb515e7,"Chair she group site. Series officer ball carry. Present sometimes night college effect billion. Experience in UML, Stakeholder Communication, SQL, Requirement Gathering, Excel. Worked on projects like Product Requirement Doc.","UML, Stakeholder Communication, SQL, Requirement Gathering, Excel",7,M.Tech IT,"Oracle SQL Expert, Tableau Desktop Specialist, AWS Certified Solutions Architect",Product Requirement Doc,Business Analyst
7d6b2230-3915-4440-9e06-5a4ee7e50e5d,"Only citizen major buy director hit. Certainly order cultural west detail how. Experience in Responsive Design, React, JavaScript, HTML, MongoDB. Worked on projects like Blog CMS.","Responsive Design, React, JavaScript, HTML, MongoDB",1,B.Tech CSE,"Scrum Master, DevOps Foundation",Blog CMS,Web Developer
87f96a21-6781-47f6-aa86-a64de19ffa1c,"Will if suggest around laugh growth. Fund chance set box president. Experience in React Native, Kotlin, Swift, Flutter, Java, UI/UX Design, iOS. Worked on projects like Chat Application.","React Native, Kotlin, Swift, Flutter, Java, UI/UX Design, iOS",0,M.Tech IT,"React Certification, Google Data Analytics, Tableau Desktop Specialist",Chat Application,Mobile App Developer
151877f4-3d4b-412c-9e61-5d964dd33a41,"Leader away quality rise suggest administration. Become per poor really. Experience in MongoDB, Responsive Design, React, JavaScript, CSS, Node.js. Worked on projects like E-commerce Frontend.","MongoDB, Responsive Design, React, JavaScript, CSS, Node.js",9,B.Sc Computer Science,AWS Certified Solutions Architect,E-commerce Frontend,Web Developer
cb8fd716-34c0-4ab8-ad7b-2b6e4251c1e0,"Consider group you result. Heart mean option possible risk under. Experience in NoSQL, Oracle, MySQL, Security, Data Modeling, SQL, Backup and Recovery. Worked on projects like Data Backup System, Database Optimization.","NoSQL, Oracle, MySQL, Security, Data Modeling, SQL, Backup and Recovery",10,B.Sc Computer Science,"Tableau Desktop Specialist, Certified Ethical Hacker, TensorFlow Developer Certificate","Data Backup System, Database Optimization",Database Administrator
4d3b6621-69a0-41a0-ae74-211fbfe2b862,"Task political hope game against sort. Charge south nation money. Experience in Firewalls, Network Security, Penetration Testing, Python, Incident Response, SIEM. Worked on projects like Security Audit, Vulnerability Assessment.","Firewalls, Network Security, Penetration Testing, Python, Incident Response, SIEM",7,B.Tech CSE,Scrum Master,"Security Audit, Vulnerability Assessment",Cybersecurity Analyst
de076e72-f71e-47b5-b6a8-baf08be80098,"Growth Democrat own amount page. Performance girl partner foot couple meet perform green. Evidence wide area of instead thing quite write. Experience in Excel, SQL, Stakeholder Communication, Data Analysis, Tableau, Power BI. Worked on projects like Sales Dashboard.","Excel, SQL, Stakeholder Communication, Data Analysis, Tableau, Power BI",3,B.Tech CSE,"Scrum Master, TensorFlow Developer Certificate",Sales Dashboard,Business Analyst
9f24bdb7-9646-4458-bf63-3cf692ca14b6,"Call test life really instead around pay. Teacher keep meeting best. Experience in Data Analysis, SQL, Tableau, UML, Power BI. Worked on projects like Market Research Analysis.","Data Analysis, SQL, Tableau, UML, Power BI",0,MCA,Google Data Analytics,Market Research Analysis,Business Analyst
9cd74866-f057-467e-96e0-59866e845548,"May oil themselves name describe dog way environment. Message quite whether business together. Experience in CI/CD, Terraform, Ansible, Docker, Monitoring Tools. Worked on projects like CI/CD Pipeline Setup, Kubernetes Cluster Deployment.","CI/CD, Terraform, Ansible, Docker, Monitoring Tools",5,B.Tech CSE,"AWS Certified Solutions Architect, DevOps Foundation, TensorFlow Developer Certificate","CI/CD Pipeline Setup, Kubernetes Cluster Deployment",DevOps Engineer
91f2cd32-35b1-41c4-b94b-b8788fe10916,"Need out capital could at. Ready west really fact life police. National pull beat accept on few. Experience in Java, React Native, Android, Flutter, Kotlin, UI/UX Design, iOS. Worked on projects like Chat Application.","Java, React Native, Android, Flutter, Kotlin, UI/UX Design, iOS",8,M.Tech IT,"DevOps Foundation, Scrum Master",Chat Application,Mobile App Developer
db86b65c-54ff-4e13-966d-a5714ce3fa39,"Information recently must must. Yourself last they story seat much. Letter decision new economic. Experience in Machine Learning, PyTorch, NLP, Computer Vision, Data Preprocessing, Python, Deep Learning, TensorFlow. Worked on projects like Image Classification, Chatbot Development.","Machine Learning, PyTorch, NLP, Computer Vision, Data Preprocessing, Python, Deep Learning, TensorFlow",0,MCA,React Certification,"Image Classification, Chatbot Development",AI/ML Engineer
6859a185-1924-4741-b075-8791f6d9b21d,"Over somebody once. Condition season look about of story. They rise between rule young party office study. Up woman represent. Experience in Java, Flutter, Kotlin, UI/UX Design, Swift, iOS, Android. Worked on projects like ToDo App, Fitness Tracker.","Java, Flutter, Kotlin, UI/UX Design, Swift, iOS, Android",7,MCA,AWS Certified Solutions Architect,"ToDo App, Fitness Tracker",Mobile App Developer
5690886e-8e30-454c-a507-a4ab3a015961,"Music wear black reduce sport. Individual analysis avoid college too talk clearly. Rather rock none TV attention forward loss stuff. Experience in Kubernetes, Google Cloud, Cloud Security, Linux, Docker, Terraform. Worked on projects like Multi-cloud Deployment, Cloud Cost Optimization.","Kubernetes, Google Cloud, Cloud Security, Linux, Docker, Terraform",9,M.Tech IT,"TensorFlow Developer Certificate, Oracle SQL Expert","Multi-cloud Deployment, Cloud Cost Optimization",Cloud Engineer
f811cb37-39fc-45ce-b09f-4013bcb99166,"Color Republican make continue science alone policy. Machine minute station national part candidate. Experience in NLP, Data Preprocessing, Deep Learning, PyTorch, Python, TensorFlow. Worked on projects like Chatbot Development, Object Detection System.","NLP, Data Preprocessing, Deep Learning, PyTorch, Python, TensorFlow",3,B.E. Information Technology,"Google Data Analytics, DevOps Foundation","Chatbot Development, Object Detection System",AI/ML Engineer
523ff05f-658c-45c1-82c1-d69f4a3ecd87,"Drive inside partner per usually value phone same. Think prove glass site among. Adult wonder anyone social section rather. Experience in Penetration Testing, Incident Response, Python, Cryptography, Firewalls, Network Security, Risk Assessment, SIEM. Worked on projects like Security Audit.","Penetration Testing, Incident Response, Python, Cryptography, Firewalls, Network Security, Risk Assessment, SIEM",0,MCA,Microsoft Azure Fundamentals,Security Audit,Cybersecurity Analyst
12253917-594f-42c5-a416-68889aa7ecd1,"House value almost its standard production. Experience in Python, NLP, TensorFlow, Computer Vision, Machine Learning, Data Preprocessing, Deep Learning. Worked on projects like Object Detection System, Chatbot Development.","Python, NLP, TensorFlow, Computer Vision, Machine Learning, Data Preprocessing, Deep Learning",3,B.Tech CSE,"Google Data Analytics, AWS Certified Solutions Architect, React Certification","Object Detection System, Chatbot Development",AI/ML Engineer
075fbd6a-9a07-4e87-9929-2b14ef4d5733,"How half speak get another total professor. System future forward look. Experience in Risk Assessment, Firewalls, SIEM, Python, Cryptography, Incident Response, Network Security, Penetration Testing. Worked on projects like Vulnerability Assessment, Security Audit.","Risk Assessment, Firewalls, SIEM, Python, Cryptography, Incident Response, Network Security, Penetration Testing",10,B.Tech CSE,"Certified Ethical Hacker, DevOps Foundation","Vulnerability Assessment, Security Audit",Cybersecurity Analyst
ae958e97-6e63-4b0f-b91a-6737682700f2,"Rather tell career daughter likely political off. Art base entire. Experience in Kubernetes, Azure, Terraform, Linux, Cloud Security. Worked on projects like Serverless Architecture, Cloud Cost Optimization.","Kubernetes, Azure, Terraform, Linux, Cloud Security",2,B.Tech CSE,"Tableau Desktop Specialist, Scrum Master, Oracle SQL Expert","Serverless Architecture, Cloud Cost Optimization",Cloud Engineer
fbf732e6-b34b-4619-ad62-4f0dafa5ece1,"Away run agency if start something measure. Base near happen certainly line argue. Behind several black those hotel role. Vote company article. Experience in Firewalls, Risk Assessment, Python, Incident Response, Penetration Testing, Cryptography, Network Security. Worked on projects like Vulnerability Assessment, Firewall Configuration.","Firewalls, Risk Assessment, Python, Incident Response, Penetration Testing, Cryptography, Network Security",3,B.Tech CSE,"Certified Ethical Hacker, Microsoft Azure Fundamentals, Scrum Master","Vulnerability Assessment, Firewall Configuration",Cybersecurity Analyst
5a9a9cfc-4200-4a9e-8d15-a13cf09b3057,"Ever much stuff back. White head standard standard pretty to. Garden particular little little part. Experience in NLP, Deep Learning, Data Preprocessing, Machine Learning, PyTorch. Worked on projects like Image Classification, Object Detection System.","NLP, Deep Learning, Data Preprocessing, Machine Learning, PyTorch",3,MCA,Scrum Master,"Image Classification, Object Detection System",AI/ML Engineer
aa019fe4-01ed-4c96-90e7-72fcdf298000,"Happen mouth stage represent. Despite side phone small must. Experience in Algorithms, Git, System Design, Java, Python, C++, Data Structures, SQL. Worked on projects like Library Management System.","Algorithms, Git, System Design, Java, Python, C++, Data Structures, SQL",7,B.Sc Computer Science,DevOps Foundation,Library Management System,Software Engineer
75904222-e0b3-42af-aa20-743c3df72097,"Participant computer young within two matter itself. To necessary audience movie. Environment represent western cut student us remember. Experience in Machine Learning, Computer Vision, Data Preprocessing, NLP, PyTorch, TensorFlow, Deep Learning, Python. Worked on projects like Chatbot Development.","Machine Learning, Computer Vision, Data Preprocessing, NLP, PyTorch, TensorFlow, Deep Learning, Python",10,B.E. Information Technology,"Tableau Desktop Specialist, Microsoft Azure Fundamentals, AWS Certified Solutions Architect",Chatbot Development,AI/ML Engineer
b7f6fa42-5532-4a74-81c5-75edfa9ff792,"Deep song ago. Smile miss across must look member. Experience in TensorFlow, Computer Vision, Deep Learning, PyTorch, Python, NLP, Machine Learning, Data Preprocessing. Worked on projects like Chatbot Development.","TensorFlow, Computer Vision, Deep Learning, PyTorch, Python, NLP, Machine Learning, Data Preprocessing",0,M.Tech IT,Oracle SQL Expert,Chatbot Development,AI/ML Engineer
707305e0-2639-4b1f-a923-b410e821593f,"Speech continue entire sister court recent guy success. Evidence or above beautiful important about. North century house trip small pass trial news. Experience in Python, System Design, Java, Algorithms, SQL. Worked on projects like REST API Development, Library Management System.","Python, System Design, Java, Algorithms, SQL",9,M.Tech IT,"Certified Ethical Hacker, TensorFlow Developer Certificate","REST API Development, Library Management System",Software Engineer
b4e22baf-13f1-4d88-84e5-270736ae1a23,"Miss product suggest class age. Experience in Cryptography, Python, Penetration Testing, Incident Response, Risk Assessment, SIEM, Firewalls. Worked on projects like Firewall Configuration, Vulnerability Assessment.","Cryptography, Python, Penetration Testing, Incident Response, Risk Assessment, SIEM, Firewalls",4,B.Sc Computer Science,React Certification,"Firewall Configuration, Vulnerability Assessment",Cybersecurity Analyst
f7c5db90-fa91-43cc-a57d-eeed2d5f3685,"Call career beautiful become letter. Experience in SQL, NoSQL, Oracle, Data Modeling, Security, Backup and Recovery. Worked on projects like Database Optimization.","SQL, NoSQL, Oracle, Data Modeling, Security, Backup and Recovery",10,B.E. Information Technology,"Tableau Desktop Specialist, DevOps Foundation, Google Data Analytics",Database Optimization,Database Administrator
4dac0e5a-ffbe-4338-8ef2-1d022187fca0,"Plant here all head draw then agency. Experience in Network Security, Cryptography, Firewalls, Incident Response, Risk Assessment, SIEM, Python, Penetration Testing. Worked on projects like Firewall Configuration.","Network Security, Cryptography, Firewalls, Incident Response, Risk Assessment, SIEM, Python, Penetration Testing",4,B.Sc Computer Science,Microsoft Azure Fundamentals,Firewall Configuration,Cybersecurity Analyst
5006219b-9704-4554-a098-1ee8e49de415,"Huge business thing. Long once test. Experience in Kubernetes, Google Cloud, AWS, Terraform, Linux, Azure, Cloud Security, Docker. Worked on projects like Multi-cloud Deployment, Cloud Cost Optimization.","Kubernetes, Google Cloud, AWS, Terraform, Linux, Azure, Cloud Security, Docker",4,B.Sc Computer Science,"React Certification, Tableau Desktop Specialist, Microsoft Azure Fundamentals","Multi-cloud Deployment, Cloud Cost Optimization",Cloud Engineer
f491c23e-ed72-43ce-8efa-2f96af5045f4,"Director official fight body. Activity structure building. Themselves peace act production then. Experience in PyTorch, TensorFlow, Machine Learning, NLP, Deep Learning, Data Preprocessing, Python. Worked on projects like Image Classification.","PyTorch, TensorFlow, Machine Learning, NLP, Deep Learning, Data Preprocessing, Python",3,MCA,"AWS Certified Solutions Architect, React Certification, DevOps Foundation",Image Classification,AI/ML Engineer
6d1753ac-3a04-4f4a-bf57-7627a961901e,"Building it on face management phone. Huge option tend anything evening bad. Might amount set between. Experience in Ansible, Kubernetes, CI/CD, AWS, Linux. Worked on projects like Kubernetes Cluster Deployment.","Ansible, Kubernetes, CI/CD, AWS, Linux",7,B.E. Information Technology,"React Certification, TensorFlow Developer Certificate, DevOps Foundation",Kubernetes Cluster Deployment,DevOps Engineer
ad4a4ea1-3ec6-41fd-8a71-09d05634f015,"Lose vote religious interest. Pressure market account form should. Experience in UML, SQL, Stakeholder Communication, Tableau, Excel, Data Analysis, Power BI, Requirement Gathering. Worked on projects like Product Requirement Doc.","UML, SQL, Stakeholder Communication, Tableau, Excel, Data Analysis, Power BI, Requirement Gathering",1,B.Sc Computer Science,DevOps Foundation,Product Requirement Doc,Business Analyst
02b82200-9943-489f-b3e4-491a31258714,"Foot sport let finally truth admit. Specific record employee line. Loss sister thus article while animal reflect. Experience in Statistics, R, Machine Learning, Python, Data Visualization, SQL, Scikit-learn. Worked on projects like Sales Forecasting.","Statistics, R, Machine Learning, Python, Data Visualization, SQL, Scikit-learn",3,B.E. Information Technology,"Microsoft Azure Fundamentals, Google Data Analytics, Oracle SQL Expert",Sales Forecasting,Data Scientist
7a7c5be0-f23c-4f66-9ef6-1eb557ca70fb,"Appear kid vote something right throw place. Town sell hope business be probably staff. Small plant knowledge employee across military into. Say American him store product. Experience in Linux, Cloud Security, Terraform, Azure, Google Cloud, Docker, Kubernetes, AWS. Worked on projects like Multi-cloud Deployment, Serverless Architecture.","Linux, Cloud Security, Terraform, Azure, Google Cloud, Docker, Kubernetes, AWS",3,B.E. Information Technology,"Scrum Master, AWS Certified Solutions Architect, Google Data Analytics","Multi-cloud Deployment, Serverless Architecture",Cloud Engineer
34588348-d81b-4ee5-be05-579ed9e12168,"Chance daughter hand for. Lose never another guess catch tend teacher. Experience in Statistics, Pandas, Machine Learning, R, Scikit-learn. Worked on projects like Customer Segmentation.","Statistics, Pandas, Machine Learning, R, Scikit-learn",9,B.Sc Computer Science,"DevOps Foundation, React Certification",Customer Segmentation,Data Scientist
f7e26633-d543-4201-9445-35ef32d87378,"Interest surface prepare thousand. Vote protect type finally new necessary. Stock economic would several reality born. Experience in Penetration Testing, Cryptography, Risk Assessment, Incident Response, Network Security, Firewalls, Python. Worked on projects like Firewall Configuration.","Penetration Testing, Cryptography, Risk Assessment, Incident Response, Network Security, Firewalls, Python",6,B.E. Information Technology,Oracle SQL Expert,Firewall Configuration,Cybersecurity Analyst
7b4a86f0-ee95-42b6-a476-2def4677356e,"Prove low could ready this somebody away lot. Can tree marriage phone. Experience in Computer Vision, Python, Data Preprocessing, TensorFlow, Deep Learning, NLP, PyTorch, Machine Learning. Worked on projects like Chatbot Development, Object Detection System.","Computer Vision, Python, Data Preprocessing, TensorFlow, Deep Learning, NLP, PyTorch, Machine Learning",5,MCA,Oracle SQL Expert,"Chatbot Development, Object Detection System",AI/ML Engineer
27d2430f-79bf-48fc-99be-41d1f8d13d42,"Card since him per our free. She price energy smile boy region billion hard. Main we sort always summer. Experience in SQL, Stakeholder Communication, UML, Excel, Tableau, Requirement Gathering. Worked on projects like Product Requirement Doc.","SQL, Stakeholder Communication, UML, Excel, Tableau, Requirement Gathering",2,B.Tech CSE,React Certification,Product Requirement Doc,Business Analyst
02bb8be3-6190-4e7d-b673-ca5d4465576b,"Month debate draw believe candidate. Factor where myself himself. Experience in Data Modeling, MySQL, Database Tuning, Backup and Recovery, SQL, NoSQL. Worked on projects like Database Optimization.","Data Modeling, MySQL, Database Tuning, Backup and Recovery, SQL, NoSQL",7,B.Sc Computer Science,"Google Data Analytics, TensorFlow Developer Certificate, Certified Ethical Hacker",Database Optimization,Database Administrator
8f37a538-24fa-499d-97bb-7a3724cb07a6,"Use usually drive else picture draw. Fact government change tax. Leave head like almost various debate oil. Could hold she free. Experience in Machine Learning, Data Visualization, SQL, R, Scikit-learn. Worked on projects like Customer Segmentation.","Machine Learning, Data Visualization, SQL, R, Scikit-learn",6,M.Tech IT,Scrum Master,Customer Segmentation,Data Scientist
9a7dde30-966d-49e1-86bd-8b9c2c6dc102,"Hotel peace federal across teacher door. Situation pass father expert business surface feeling. Experience in Computer Vision, Deep Learning, TensorFlow, NLP, Data Preprocessing, Machine Learning, Python. Worked on projects like Chatbot Development, Image Classification.","Computer Vision, Deep Learning, TensorFlow, NLP, Data Preprocessing, Machine Learning, Python",1,B.E. Information Technology,"Scrum Master, React Certification, AWS Certified Solutions Architect","Chatbot Development, Image Classification",AI/ML Engineer
